name,department,salary,office,isManager,skill1,skill2,skill3
Deborah Taylor,Accounting,186,London,FALSE,Typescript,Rust,GoLang
Jackson Parsons,Bots,150,New York,FALSE,HTML,Performance,AI
Maia Blackburn,Developer Platform,294,Austin,FALSE,Distributed Systems,C++,GoLang
Zahir Hartman,CDN,106,Singapore,FALSE,HTML,Rust,Postgres
Kennedi Palacios,Accounting,300,San Francisco,FALSE,Caching,Performance,AI
Thaddeus Dillon,Bots,172,London,FALSE,Typescript,C++,GoLang
Laurel Moore,Developer Platform,194,New York,FALSE,HTML,Rust,AI
Levi Rivers,CDN,141,Austin,FALSE,Distributed Systems,Performance,GoLang
Kiana Ray,Accounting,104,Austin,FALSE,Distributed Systems,C++,Postgres
Arlo Person,Bots,203,Singapore,FALSE,HTML,Rust,AI
Dylan Evans,Developer Platform,90,San Francisco,FALSE,Caching,Performance,GoLang
Elias Quintero,CDN,215,London,FALSE,Typescript,C++,AI
Keyla Hurst,Accounting,137,New York,FALSE,HTML,Rust,GoLang
Neil Carroll,Bots,188,Austin,FALSE,Distributed Systems,Performance,Postgres
Zara Bradford,Developer Platform,163,Austin,FALSE,HTML,C++,AI
Ander Quintero,CDN,226,Singapore,FALSE,Caching,Rust,GoLang
Keyla Bravo,Accounting,242,San Francisco,FALSE,Typescript,Performance,AI
Genesis Felix,Bots,187,London,FALSE,HTML,C++,GoLang
Paisleigh Sherman,Developer Platform,118,New York,FALSE,Distributed Systems,Rust,Postgres
Adan Sanford,CDN,280,Austin,FALSE,Distributed Systems,Performance,AI
Emerald Macdonald,Accounting,228,Austin,FALSE,HTML,C++,GoLang
Hugh Bowman,Bots,139,Singapore,FALSE,Caching,Rust,AI
Fiona Robinson,Developer Platform,300,San Francisco,FALSE,Typescript,Performance,GoLang
Matthew Christensen,CDN,204,London,FALSE,HTML,C++,Postgres
Carmen McLaughlin,Accounting,221,New York,FALSE,Distributed Systems,Rust,AI
Ibrahim Gould,Bots,262,Austin,FALSE,HTML,Performance,GoLang
Violeta Cortes,Developer Platform,98,Austin,FALSE,Caching,C++,AI
Banks Fitzpatrick,CDN,250,Singapore,FALSE,Typescript,Rust,GoLang
Annabella Velasquez,Accounting,172,San Francisco,FALSE,HTML,Performance,Postgres
Sullivan Nunez,Bots,165,London,FALSE,Distributed Systems,C++,AI
Mya Hardy,Developer Platform,127,New York,FALSE,Distributed Systems,Rust,GoLang
Jayceon Murillo,CDN,128,Austin,FALSE,HTML,Performance,AI
Mikaela Hampton,Accounting,89,Austin,FALSE,Caching,C++,GoLang
Hank Sandoval,Bots,165,Singapore,FALSE,Typescript,Rust,Postgres
Elsie McCarthy,Developer Platform,128,San Francisco,FALSE,HTML,Rust,AI
Devin Weber,CDN,285,London,FALSE,Distributed Systems,Performance,GoLang
